Station,On,off,Onboard,Direction,Traincode
Gilroy,0,0,0,N,101
San Martin,0,0,0,N,101
Morgan Hill,0,0,0,N,101
Blossom Hill,0,0,0,N,101
Capitol,0,0,0,N,101
Tamien,0,0,0,N,101
San Jose Diridon,13,0,13,N,101
College Park,0,0,13,N,101
Santa Clara,5,0,18,N,101
Lawrence,3,0,20,N,101
Sunnyvale,11,0,31,N,101
Mountain View,7,0,38,N,101
San Antonio,3,0,41,N,101
California Avenue,3,0,44,N,101
Palo Alto,8,3,49,N,101
Menlo Park,2,2,49,N,101
Atherton,0,0,49,N,101
Redwood City,10,1,58,N,101
San Carlos,4,1,61,N,101
Belmont,2,0,62,N,101
Hillsdale,13,1,75,N,101
Hayward Park,5,0,80,N,101
San Mateo,10,2,88,N,101
Burlingame,8,5,91,N,101
Broadway,0,0,91,N,101
Millbrae,6,16,81,N,101
San Bruno,4,3,82,N,101
South San Francisco,1,2,81,N,101
Bayshore,1,1,82,N,101
22nd Street,0,7,75,N,101
San Francisco,0,75,0,N,101
Gilroy,0,0,0,N,103
San Martin,0,0,0,N,103
Morgan Hill,0,0,0,N,103
Blossom Hill,0,0,0,N,103
Capitol,0,0,0,N,103
Tamien,12,0,12,N,103
San Jose Diridon,26,0,38,N,103
College Park,0,0,38,N,103
Santa Clara,8,1,46,N,103
Lawrence,6,1,51,N,103
Sunnyvale,14,3,62,N,103
Mountain View,8,2,68,N,103
San Antonio,4,1,71,N,103
California Avenue,4,2,72,N,103
Palo Alto,7,27,53,N,103
Menlo Park,5,2,55,N,103
Atherton,0,0,55,N,103
Redwood City,23,5,73,N,103
San Carlos,11,1,83,N,103
Belmont,12,2,93,N,103
Hillsdale,16,1,108,N,103
Hayward Park,6,2,112,N,103
San Mateo,20,1,131,N,103
Burlingame,17,4,144,N,103
Broadway,0,0,144,N,103
Millbrae,7,26,124,N,103
San Bruno,17,4,138,N,103
South San Francisco,7,12,132,N,103
Bayshore,5,4,134,N,103
22nd Street,0,14,120,N,103
San Francisco,0,120,0,N,103
Gilroy,0,0,0,N,305
San Martin,0,0,0,N,305
Morgan Hill,0,0,0,N,305
Blossom Hill,0,0,0,N,305
Capitol,0,0,0,N,305
Tamien,0,0,0,N,305
San Jose Diridon,186,0,186,N,305
College Park,0,0,186,N,305
Santa Clara,0,0,186,N,305
Lawrence,0,0,186,N,305
Sunnyvale,0,0,186,N,305
Mountain View,84,9,262,N,305
San Antonio,0,0,262,N,305
California Avenue,0,0,262,N,305
Palo Alto,54,74,242,N,305
Menlo Park,0,0,242,N,305
Atherton,0,0,242,N,305
Redwood City,0,0,242,N,305
San Carlos,0,0,242,N,305
Belmont,0,0,242,N,305
Hillsdale,55,12,285,N,305
Hayward Park,0,0,285,N,305
San Mateo,0,0,285,N,305
Burlingame,0,0,285,N,305
Broadway,0,0,285,N,305
Millbrae,13,31,267,N,305
San Bruno,0,0,267,N,305
South San Francisco,0,0,267,N,305
Bayshore,0,0,267,N,305
22nd Street,0,0,267,N,305
San Francisco,0,267,0,N,305
Gilroy,0,0,0,N,207
San Martin,0,0,0,N,207
Morgan Hill,0,0,0,N,207
Blossom Hill,0,0,0,N,207
Capitol,0,0,0,N,207
Tamien,20,0,20,N,207
San Jose Diridon,31,1,50,N,207
College Park,0,0,50,N,207
Santa Clara,26,2,75,N,207
Lawrence,33,2,106,N,207
Sunnyvale,35,1,141,N,207
Mountain View,57,4,193,N,207
San Antonio,42,9,226,N,207
California Avenue,25,12,239,N,207
Palo Alto,18,48,209,N,207
Menlo Park,39,16,232,N,207
Atherton,0,0,232,N,207
Redwood City,90,14,308,N,207
San Carlos,0,0,308,N,207
Belmont,0,0,308,N,207
Hillsdale,115,13,411,N,207
Hayward Park,0,0,411,N,207
San Mateo,0,0,411,N,207
Burlingame,0,0,411,N,207
Broadway,0,0,411,N,207
Millbrae,12,40,383,N,207
San Bruno,0,0,383,N,207
South San Francisco,14,34,364,N,207
Bayshore,0,0,364,N,207
22nd Street,0,0,364,N,207
San Francisco,0,364,0,N,207
Gilroy,0,0,0,N,309
San Martin,0,0,0,N,309
Morgan Hill,0,0,0,N,309
Blossom Hill,0,0,0,N,309
Capitol,0,0,0,N,309
Tamien,171,0,171,N,309
San Jose Diridon,147,3,315,N,309
College Park,0,0,315,N,309
Santa Clara,0,0,315,N,309
Lawrence,0,0,315,N,309
Sunnyvale,175,9,481,N,309
Mountain View,0,0,481,N,309
San Antonio,0,0,481,N,309
California Avenue,0,0,481,N,309
Palo Alto,30,143,369,N,309
Menlo Park,0,0,369,N,309
Atherton,0,0,369,N,309
Redwood City,85,31,422,N,309
San Carlos,0,0,422,N,309
Belmont,0,0,422,N,309
Hillsdale,0,0,422,N,309
Hayward Park,0,0,422,N,309
San Mateo,73,10,485,N,309
Burlingame,0,0,485,N,309
Broadway,0,0,485,N,309
Millbrae,27,50,462,N,309
San Bruno,0,0,462,N,309
South San Francisco,0,0,462,N,309
Bayshore,0,0,462,N,309
22nd Street,0,0,462,N,309
San Francisco,0,462,0,N,309
Gilroy,0,0,0,N,211
San Martin,0,0,0,N,211
Morgan Hill,0,0,0,N,211
Blossom Hill,0,0,0,N,211
Capitol,0,0,0,N,211
Tamien,0,0,0,N,211
San Jose Diridon,72,0,72,N,211
College Park,0,0,72,N,211
Santa Clara,44,1,115,N,211
Lawrence,0,0,115,N,211
Sunnyvale,42,2,155,N,211
Mountain View,27,6,177,N,211
San Antonio,0,0,177,N,211
California Avenue,10,12,175,N,211
Palo Alto,0,0,175,N,211
Menlo Park,13,32,156,N,211
Atherton,0,0,156,N,211
Redwood City,30,26,160,N,211
San Carlos,30,19,171,N,211
Belmont,34,12,193,N,211
Hillsdale,39,7,225,N,211
Hayward Park,27,14,238,N,211
San Mateo,48,10,276,N,211
Burlingame,63,9,330,N,211
Broadway,0,0,330,N,211
Millbrae,6,68,269,N,211
San Bruno,37,10,295,N,211
South San Francisco,21,30,287,N,211
Bayshore,14,9,291,N,211
22nd Street,3,31,263,N,211
San Francisco,0,263,0,N,211
Gilroy,0,0,0,N,313
San Martin,0,0,0,N,313
Morgan Hill,0,0,0,N,313
Blossom Hill,0,0,0,N,313
Capitol,0,0,0,N,313
Tamien,0,0,0,N,313
San Jose Diridon,561,1,560,N,313
College Park,0,0,560,N,313
Santa Clara,0,0,560,N,313
Lawrence,0,0,560,N,313
Sunnyvale,0,0,560,N,313
Mountain View,275,17,818,N,313
San Antonio,0,0,818,N,313
California Avenue,0,0,818,N,313
Palo Alto,138,203,753,N,313
Menlo Park,0,0,753,N,313
Atherton,0,0,753,N,313
Redwood City,0,0,753,N,313
San Carlos,0,0,753,N,313
Belmont,0,0,753,N,313
Hillsdale,153,32,874,N,313
Hayward Park,0,0,874,N,313
San Mateo,0,0,874,N,313
Burlingame,0,0,874,N,313
Broadway,0,0,874,N,313
Millbrae,47,89,832,N,313
San Bruno,0,0,832,N,313
South San Francisco,0,0,832,N,313
Bayshore,0,0,832,N,313
22nd Street,0,0,832,N,313
San Francisco,0,832,0,N,313
Gilroy,0,0,0,N,215
San Martin,0,0,0,N,215
Morgan Hill,0,0,0,N,215
Blossom Hill,0,0,0,N,215
Capitol,0,0,0,N,215
Tamien,0,0,0,N,215
San Jose Diridon,145,0,145,N,215
College Park,0,0,145,N,215
Santa Clara,0,0,145,N,215
Lawrence,0,0,145,N,215
Sunnyvale,258,7,396,N,215
Mountain View,89,7,478,N,215
San Antonio,0,0,478,N,215
California Avenue,63,27,513,N,215
Palo Alto,75,93,495,N,215
Menlo Park,0,0,495,N,215
Atherton,0,0,495,N,215
Redwood City,0,0,495,N,215
San Carlos,105,50,550,N,215
Belmont,0,0,550,N,215
Hillsdale,90,30,610,N,215
Hayward Park,0,0,610,N,215
San Mateo,111,24,697,N,215
Burlingame,110,19,788,N,215
Broadway,0,0,788,N,215
Millbrae,0,0,788,N,215
San Bruno,47,15,820,N,215
South San Francisco,0,0,820,N,215
Bayshore,0,0,820,N,215
22nd Street,0,0,820,N,215
San Francisco,0,820,0,N,215
Gilroy,70,0,70,N,217
San Martin,30,0,100,N,217
Morgan Hill,90,0,190,N,217
Blossom Hill,40,0,229,N,217
Capitol,14,0,243,N,217
Tamien,46,92,197,N,217
San Jose Diridon,49,5,242,N,217
College Park,0,0,242,N,217
Santa Clara,84,8,317,N,217
Lawrence,64,35,346,N,217
Sunnyvale,111,12,446,N,217
Mountain View,137,40,543,N,217
San Antonio,122,28,637,N,217
California Avenue,75,28,684,N,217
Palo Alto,79,151,612,N,217
Menlo Park,116,53,675,N,217
Atherton,0,0,675,N,217
Redwood City,186,25,837,N,217
San Carlos,0,0,837,N,217
Belmont,0,0,837,N,217
Hillsdale,199,47,989,N,217
Hayward Park,0,0,989,N,217
San Mateo,0,0,989,N,217
Burlingame,0,0,989,N,217
Broadway,0,0,989,N,217
Millbrae,44,76,957,N,217
San Bruno,0,0,957,N,217
South San Francisco,17,43,931,N,217
Bayshore,0,0,931,N,217
22nd Street,0,0,931,N,217
San Francisco,0,931,0,N,217
Gilroy,0,0,0,N,319
San Martin,0,0,0,N,319
Morgan Hill,0,0,0,N,319
Blossom Hill,0,0,0,N,319
Capitol,0,0,0,N,319
Tamien,453,1,453,N,319
San Jose Diridon,267,1,718,N,319
College Park,0,0,718,N,319
Santa Clara,0,0,718,N,319
Lawrence,0,0,718,N,319
Sunnyvale,212,22,908,N,319
Mountain View,0,0,908,N,319
San Antonio,0,0,908,N,319
California Avenue,0,0,908,N,319
Palo Alto,95,348,656,N,319
Menlo Park,0,0,656,N,319
Atherton,0,0,656,N,319
Redwood City,175,112,719,N,319
San Carlos,0,0,719,N,319
Belmont,0,0,719,N,319
Hillsdale,0,0,719,N,319
Hayward Park,0,0,719,N,319
San Mateo,62,20,761,N,319
Burlingame,0,0,761,N,319
Broadway,0,0,761,N,319
Millbrae,61,86,736,N,319
San Bruno,0,0,736,N,319
South San Francisco,0,0,736,N,319
Bayshore,0,0,736,N,319
22nd Street,0,0,736,N,319
San Francisco,0,736,0,N,319
Gilroy,43,0,43,N,221
San Martin,22,0,65,N,221
Morgan Hill,47,0,111,N,221
Blossom Hill,27,0,138,N,221
Capitol,17,1,154,N,221
Tamien,67,10,211,N,221
San Jose Diridon,122,15,317,N,221
College Park,0,0,317,N,221
Santa Clara,96,15,398,N,221
Lawrence,45,26,418,N,221
Sunnyvale,117,18,517,N,221
Mountain View,91,53,555,N,221
San Antonio,0,0,555,N,221
